,PoI_GT_centerLatAngle,PoI_GT_visibleMinLatAngle,PoI_GT_visibleMaxLatAngle,PoI_GT_minLatAngle,PoI_GT_maxLatAngle,PoI_GT_adjustedMinLatAngle,PoI_GT_adjustedMaxLatAngle,PoI_GT_centerLatAngle_predicted
2856,-0.18194041,-0.1476840547,-0.1116162456999999,-0.2598252455,-0.1116162456999999,-0.1476840547,0.0,-0.20561442
5031,0.4699544309999999,0.3059172725,0.4250529165,0.3059172725,0.638354548,0.3059172725,0.4250529165,0.2587909
5012,-0.3005541614999999,-0.2811695355,-0.1997010257,-0.4085022275,-0.1997010257,-0.2811695355,-0.1997010257,-0.23940769
197,-0.5448599855,-0.4986833065,-0.3665120269999999,-0.7357277055,-0.3665120269999999,-0.4986833065,-0.3665120269999999,-0.3167911
2701,0.3304505335,0.2100327435,0.3569905249999999,0.2100327435,0.4667680534999999,0.2100327435,0.3569905249999999,0.2715653
1335,0.205828622,0.1022933928,0.1678194603999999,0.1022933928,0.3258146624999999,0.0,0.1678194603999999,0.058805946
3827,0.4809055919999999,0.2111950045,0.445863668,0.2111950045,0.78381147,0.2111950045,0.445863668,0.278184
771,0.4280732465,0.3114577435,0.372995507,0.3114577435,0.5485542775,0.3114577435,0.372995507,0.20298392
2398,0.5692396295,0.3660242319999999,0.7535394755,0.3660242319999999,0.7689765945,0.3660242319999999,0.8586677717499999,0.30667207
242,-0.255712249,-0.2327779795,-0.1622971627,-0.3555356125,-0.1622971627,-0.2327779795,-0.1622971627,-0.20561442
517,-0.9244290015,-1.067877861,-0.6079097714999999,-1.180180052,-0.6079097714999999,-1.0928188885,-0.6079097714999999,-0.52930427
3866,0.158862722,0.0836845744999999,0.239687494,0.0836845744999999,0.239687494,0.0836845744999999,3.1420000000000003,0.24094132
1304,0.3568731019999999,0.16586358575,0.46422495,0.16586358575,0.581932919,0.16586358575,0.51871652475,0.22530577
1841,-0.453810045,-0.3710482285,-0.2771148229999999,-0.636946394,-0.2771148229999999,-0.3710482285,-0.2771148229999999,-0.26398706
990,-0.1952570539999999,-0.171779354,-0.138136455,-0.2571094615,-0.138136455,-0.171779354,0.0,-0.020318292
4776,-0.4865440955,-0.451942876,-0.3358285885,-0.651391207,-0.3358285885,-0.451942876,-0.3358285885,-0.25464696
4665,0.2915200415,0.209249661,0.2933222895,0.209249661,0.3817360744999999,0.209249661,0.2933222895,0.22145584
1022,0.6212367205,0.433142651,0.794753918,0.433142651,0.8184425485,0.433142651,0.829427862,0.3518197
3881,-0.5967825475,-0.6486532825,-0.2359171515,-0.9756794425000004,-0.2359171515,-0.6541581974999999,-0.2359171515,-0.3341915
4253,-0.6937749004999999,-0.7298354149999999,-0.32130632925,-1.0322657654999998,-0.32130632925,-0.7339163774999999,-0.32130632925,-0.35849223
964,-0.13130255225,-0.08214990255,-0.06187686225,-0.2091839889999999,-0.06187686225,-0.08214990255,-0.06187686225,-0.20561442
1515,0.3837284845,0.1774886229499999,0.523112328,0.1774886229499999,0.6265899599999998,0.1774886229499999,0.5882053447500001,0.26416904
2511,-0.4022144095,-0.339617945,-0.2384036984999999,-0.5889978865,-0.2384036984999999,-0.339617945,-0.2384036984999999,-0.20561442
152,0.313402956,0.2274201545,0.2682163235,0.2274201545,0.4035415089999999,0.0,0.2682163235,0.24487323
3044,0.3782817974999999,0.244274575,0.4261873885,0.244274575,0.5194237475000001,0.244274575,0.426257295,0.2650647
4067,-0.164073109,-0.1076747828,-0.0711406924,-0.2655818815,-0.0711406924,-0.1076747828,-0.0711406924,-0.20561442
3841,-0.6857227700000001,-0.7221173905,-0.465278437,-0.9081548625,-0.465278437,-0.7221173905,-0.465278437,-0.46948633
2224,-0.5951689695000001,-0.5470587060000001,-0.3400460425,-0.864942052,-0.3400460425,-0.5470587060000001,0.0,-0.3183589
2478,0.4592950210000001,0.334941351,0.422525433,0.334941351,0.5871840134999999,0.0,0.422525433,0.2839852
1865,-0.5311708675,-0.5087027405,-0.3772093884999999,-0.685661808,-0.3772093884999999,-0.5087027405,-0.3772093884999999,-0.3433569
1723,-0.6202322265,-0.5860825995,-0.4402402944999999,-0.7946393455,-0.4402402944999999,-0.5860825995,-0.4402402944999999,-0.39191478
4612,-0.537347159,-0.5221110905,-0.306200813,-0.787482707,-0.306200813,-0.5221110905,-0.306200813,-0.24166147
4179,-0.555601356,-0.7432689395,-0.3421187499999999,-0.7659286915,-0.3421187499999999,-0.85901496625,-0.3421187499999999,-0.4006053
4215,0.7455116820000001,0.395444658,0.779288725,0.395444658,1.045392536,0.395444658,0.7839056325,0.33830187
1759,0.8385189885,0.6330897265000001,0.9152414065,0.6330897265000001,1.0207432930000002,0.6330897265000001,0.9213947615,0.454646
4472,-0.5820573474999999,-0.742476157,-0.420900628,-0.742476157,-0.420900628,-3.1420000000000003,-0.420900628,-0.43442053
4229,0.9373011835,0.6505854790000001,1.020178855,0.6505854790000001,1.1766213744999998,0.6505854790000001,1.0250189825,0.4109434
862,0.4154235069999999,0.2517623675,0.6002245275,0.2517623675,0.6002245275,0.2517623675,3.1420000000000003,0.2535512
193,-0.1111578444999999,-0.16835983925,-0.05850712595,-0.16835983925,-0.05850712595,-3.1420000000000003,-0.05850712595,-0.20561442
3886,0.4744848995,0.3321889505,0.5846011360000001,0.3321889505,0.6295657374999999,0.3321889505,0.5951151214999999,0.31023234
