participant,trigger,x,y,z,gx,gy,target,difference,side,angle_p,angle_g,l_g,l_p,cond,sgb,sgm,sgc,f_b,f_m,f_c,h_B_w,distance,dense_column,VS left,VS right,Height,DomHand,regularity,Geschlecht
9,15.0,-0.2162743,-0.1997484966666667,-0.24418799000000002,366.00666666666666,-180.37,13.948446019877986,9.240404676666666,0.5,36.0,26.759595323333333,5.0,0.9,1.0,0.0,0.6,4.4,0.0,1.0,6.0,2.3327801657349414,near,dense,0.0,0.0,118,2,4,1
9,16.0,-0.21779264666666664,-0.1648493666666667,-0.25433869333333337,405.35999999999996,-109.76333333333334,18.31825877800019,10.363191306666666,0.5,40.0,29.636808693333336,1.1,0.8000000000000002,1.0,0.6999999999999998,0.0,0.4000000000000001,1.0,0.0,1.0,3.0039280376577646,near,dense,0.0,0.0,118,2,4,1
9,17.0,-0.24250949,-0.19289001666666664,-0.24984419666666668,242.7033333333333,-155.10666666666665,11.622796455452091,18.255397033333335,0.5,36.0,17.744602966666665,2.7999999999999994,1.3,1.0,2.3,0.5,0.0,2.0,1.0,0.0,1.4397041098797845,near,dense,0.0,0.0,118,2,4,1
9,18.0,-0.17156080333333334,-0.4000950366666666,-0.27869672666666667,-423.74,-65.05333333333333,-19.816567956234753,-14.019386923333334,-0.5,-45.0,-30.980613076666668,1.1,0.6999999999999998,1.0,0.6,0.5,0.0,1.0,1.0,0.0,3.006818219639895,near,dense,0.0,0.0,118,2,4,1
9,19.0,-0.19906845333333334,-0.19273854999999998,-0.25494947333333334,353.00000000000006,-161.86333333333334,15.203706552426368,17.858018876666666,0.5,43.666666666666664,25.80864779,2.1,1.1,1.0,1.5,0.0,0.6,1.0,0.0,1.0,3.023202607099051,near,dense,0.0,0.0,118,2,4,1
9,20.0,-0.19046233,-0.40784970000000004,-0.2706163466666667,-284.50333333333333,-29.806666666666654,-16.276929100217288,-23.199302193333335,-0.5,-44.0,-20.800697806666665,2.7000000000000006,1.0,1.0,1.0,0.0,1.7,1.0,0.0,2.0,2.543798355340053,near,dense,0.0,0.0,118,2,4,1
9,22.0,-0.27111749,-0.13799463,-0.2335243366666667,375.43,-89.33999999999999,16.334838303542877,13.884776276666665,0.5,41.333333333333336,27.44855705666667,1.8,0.9,1.0,1.3999999999999997,0.4000000000000001,0.0,2.0,1.0,0.0,2.7467964004064918,near,dense,0.0,0.0,118,2,4,1
9,23.0,-0.23460775999999997,-0.3892644166666666,-0.24037329,-313.40333333333336,-119.87666666666667,-13.116201543864603,1.5803104233333336,-0.5,-21.333333333333332,-22.91364375666667,0.5,0.9,1.0,0.5,0.0,0.0,1.0,0.0,0.0,1.9407464851097076,near,dense,0.0,0.0,118,2,4,1
9,24.0,-0.30478271,-0.23508733666666667,-0.22811172999999998,70.60999999999997,-133.77333333333334,4.376108894031823,6.504205985333333,0.5,11.666666666666666,5.162460681333333,7.3,1.1,1.0,1.5,0.0,5.8,2.0,0.0,5.0,1.1726091179907165,near,dense,0.0,0.0,118,2,4,1
9,25.0,-0.24382139,-0.1666194,-0.21318929333333334,306.8666666666667,-203.03666666666666,15.217788610058241,-7.435732916666666,0.5,15.0,22.435732916666666,5.1,1.1,2.0,1.6000000000000003,0.0,3.5,2.0,0.0,5.0,2.6381111739901915,far,dense,0.0,0.0,118,2,4,1
9,26.0,-0.25196153,-0.18524723333333334,-0.2144108,281.2033333333333,-180.50666666666666,13.565402134265257,17.440572839999998,0.5,38.0,20.559427160000002,3.7000000000000006,1.3,2.0,1.8,0.0,1.8999999999999997,1.0,0.0,3.0,2.2491080249005635,far,dense,0.0,0.0,118,2,4,1
9,27.0,-0.2992717233333333,-0.17218780666666667,-0.20915786,276.65,-118.38666666666666,12.816858264916908,9.440144253333333,0.5,29.666666666666668,20.22652241333333,3.6,1.0,2.0,1.1,1.2,1.3,1.0,1.0,1.0,2.2373828472979107,far,dense,0.0,0.0,118,2,4,1
9,29.0,-0.2539765333333333,-0.19551153333333335,-0.22351303666666666,244.66333333333333,-130.95000000000002,12.26735650720886,6.445430223333332,0.5,24.333333333333332,17.88790311,4.2,1.2,2.0,2.1,0.4000000000000001,1.7,1.0,1.0,4.0,2.070924901399082,far,dense,0.0,0.0,118,2,4,1
