participant,trigger,x,y,z,gx,gy,target,difference,side,angle_p,angle_g,l_g,l_p,cond,sgb,sgm,sgc,f_b,f_m,f_c,h_B_w,distance,dense_column,VS left,VS right,Height,DomHand,regularity,Geschlecht,r_l,regularity_updated
31,55.0,-0.4090643716666666,-0.3152444066666666,-0.3327572466666667,-189.765,-85.075,-7.2190052271640255,-0.8292698413165797,-0.5,-14.666666666666666,-13.837396825350089,8.9,0.4000000000000001,3.0,1.0,0.0,7.900000000000001,1.0,0.0,6.0,2.8604712066863844,near,non_dense,0.0,0.0,125,2,2,2,0.5,2
31,73.0,-0.4258132599999999,-0.1338603866666666,-0.2373223266666666,196.54666666666665,434.69000000000005,6.354026396605295,-7.665239751094643,0.5,6.666666666666667,14.33190641776131,10.0,0.6,4.0,0.9,0.4000000000000001,8.7,1.0,1.0,8.0,2.1935664816125406,far,non_dense,0.0,0.0,125,2,2,2,0.5,2
31,93.0,-0.4306622533333333,-0.26466937,-0.2395189566666666,-253.0833333333333,-80.19666666666667,-6.326511165434499,8.787813944698359,-0.5,-9.666666666666666,-18.454480611365025,5.599999999999999,0.4000000000000001,4.0,1.5,0.0,4.1,2.0,0.0,4.0,2.194257868068539,far,non_dense,0.0,0.0,125,2,2,2,0.5,2
66,5.0,-0.3136344433333333,-0.10449085,-0.2097572366666666,171.77333333333334,118.28333333333332,25.899019304607545,23.7473918865228,0.5,37.0,13.2526081134772,4.1,8.0,1.0,3.0,1.1,0.0,3.0,2.0,0.0,4.297214235632668,near,dense,1.0,1.5,113,2,2,1,0.5,2
66,7.0,-0.3043551933333333,-0.0899414566666666,-0.20159611,948.9,-9.606666666666664,16.10099673973536,-18.95985060529874,0.5,42.333333333333336,61.29318393863207,6.099999999999999,6.400000000000001,1.0,2.7999999999999994,2.4,0.9,3.0,3.0,1.0,2.200801856347604,near,dense,1.0,1.5,113,2,2,1,0.5,2
66,8.0,-0.2891460066666667,-0.081202,-0.1963636033333333,358.42333333333335,-143.37,20.09127190429943,17.347023352133384,0.5,45.0,27.65297664786662,6.3,6.0,1.0,2.9,3.4,0.0,4.0,2.0,0.0,3.145860535732813,near,dense,1.0,1.5,113,2,2,1,0.5,2
66,10.0,-0.2840275766666666,-0.0050936666666666,-0.1928386233333333,351.22333333333336,-131.41,30.124341296530314,17.902515735994097,0.5,45.0,27.0974842640059,2.2,5.0,1.0,1.0,0.6,0.6,2.0,1.0,1.0,5.1105339936351415,near,dense,1.0,1.5,113,2,2,1,0.5,2
66,13.0,-0.3374572266666666,-0.10108745,-0.2017283483333333,166.32666666666668,-33.06499999999999,10.034310050331207,15.667611588017438,0.5,28.5,12.832388411982558,4.9,7.099999999999999,1.0,0.0,0.0,4.9,0.0,0.0,7.0,1.6520239061050936,near,dense,1.0,1.5,113,2,2,1,0.5,2
66,16.0,-0.3405578133333333,-0.1034116833333333,-0.2006726833333333,351.18,90.32,31.44395775939233,4.905858977193266,0.5,32.0,27.09414102280673,5.5,6.400000000000001,1.0,3.9,1.6000000000000003,0.0,3.0,2.0,0.0,5.532185777776223,near,dense,1.0,1.5,113,2,2,1,0.5,2
66,30.0,-0.2965331,-0.12470431,-0.1954548533333333,383.3866666666667,105.6,20.55714627250758,11.421059249016272,0.5,41.0,29.57894075098373,8.3,6.2,2.0,3.4,4.3,0.6,5.0,3.0,1.0,3.5944720890457056,far,dense,1.0,1.5,113,2,2,1,0.5,2
66,43.0,-0.2205529066666667,-0.40716056,-0.2491681966666666,-208.1533333333333,-63.05333333333332,-37.47124821775617,-28.94061231362654,-0.5,-45.0,-16.05938768637346,3.1,1.2,2.0,3.1,0.0,0.0,3.0,0.0,0.0,5.635897655210965,far,dense,1.0,1.5,113,2,2,1,0.5,2
66,44.0,-0.2756425722222222,-0.3912412788888889,-0.2382459455555555,-187.4,-0.9111111111111162,-28.90011151510109,-20.43065656451397,-0.5,-34.888888888888886,-14.458232324374912,2.9,0.6,2.0,1.4,0.0,1.5,1.0,0.0,2.0,4.078031353318357,far,dense,1.0,1.5,113,2,2,1,0.5,2
