participant,trigger,x,y,z,gx,gy,target,difference,side,angle_p,angle_g,l_g,l_p,cond,sgb,sgm,sgc,f_b,f_m,f_c,h_B_w,distance,dense_column,VS left,VS right,Height,DomHand,regularity,Geschlecht,regularity_updated,mrde,predict
63,26.0,-0.3257178833333333,-0.1076153999999999,-0.2224154633333333,329.91666666666663,-102.33333333333331,12.914478711955342,3.287184690650695,0.5,28.0,24.712815309349303,2.1,1.1,2.0,0.0,0.0,2.1,0.0,0.0,2.0,2.227576811738686,far,dense,99.0,99.0,119,2,1,1,1,0.1414782484753842,13.229632377624512
28,59.0,-0.4515137966666667,-0.0927118233333333,-0.20301273,342.10666666666674,77.98666666666666,10.489864978063776,-11.15761842976606,0.5,16.0,27.157618429766057,6.599999999999999,1.9,3.0,4.9,0.8000000000000002,0.9,4.0,1.0,1.0,3.8495871113361098,near,non_dense,0.0,0.0,115,2,1,1,1,0.1463728817258808,11.053340137004852
38,73.0,-0.4495608716666666,-0.1396040516666666,-0.1924247566666666,149.28666666666666,39.16166666666666,7.626146742846376,-4.692643808842988,0.5,7.666666666666667,12.359310475509654,7.400000000000001,2.1,4.0,2.6,1.7,3.1,4.0,2.0,3.0,2.630326020259543,far,non_dense,2.0,2.0,115,2,1,2,1,0.1465866221429184,8.011717349290848
63,13.0,-0.3399745433333334,-0.09704215,-0.2079154233333333,267.4433333333333,-48.943333333333335,11.039482824051992,-0.0331731317506722,0.5,20.0,20.033173131750672,8.4,1.1,1.0,5.3,0.0,3.1,3.0,0.0,4.0,1.6913507496669349,near,dense,99.0,99.0,119,2,1,1,1,0.1488917140398807,11.29131093621254
63,79.0,-0.3017846833333333,-0.3098591833333333,-0.2468176866666666,-120.43333333333337,-137.01,-10.144274121734114,-5.9787924513585216,-0.5,-15.0,-9.02120754864148,3.5,2.4,4.0,3.0,0.5,0.0,1.0,1.0,0.0,3.2587102421171124,far,non_dense,99.0,99.0,119,2,1,1,1,0.1515489450145293,-10.638128221035004
28,60.0,-0.4187822033333333,-0.0395096233333333,-0.1944785133333333,335.2866666666667,-60.00333333333334,14.383003824699246,5.38377691776007,0.5,32.0,26.61622308223993,4.3,2.0,3.0,0.4000000000000001,0.9,3.0,1.0,1.0,4.0,5.111867997176032,near,non_dense,0.0,0.0,115,2,1,1,1,0.1554586515732641,13.588319718837738
63,96.0,-0.2812062733333333,-0.3159838133333333,-0.2860793566666667,-184.28666666666663,-81.97333333333331,-10.9473865988031,-1.1957796696874372,-0.5,-15.0,-13.804220330312562,1.0,1.3,4.0,0.0,0.0,1.0,0.0,0.0,1.0,4.987513664951808,far,non_dense,99.0,99.0,119,2,1,1,1,0.1572767420984203,-10.162966698408129
29,6.0,-0.2270478,-0.18371351,-0.2766529733333333,3.669999999999997,-166.18666666666664,10.52977733978139,19.714868267025903,0.5,20.0,0.2851317329740936,8.9,1.2,1.0,0.8000000000000002,1.8,6.3,2.0,1.0,5.0,1.5465529290215347,near,dense,2.0,0.75,122,2,1,2,1,0.1601031899384616,10.28216928243637
73,46.0,-0.3424540633333333,-0.3023846066666666,-0.26745214,-61.48999999999997,-17.20666666666666,-10.565762175507349,-11.22242377199244,-0.5,-16.0,-4.777576228007561,5.400000000000001,3.6,2.0,1.2,2.2,2.0,2.0,2.0,3.0,2.2343590678738408,far,dense,0.0,0.0,114,2,1,1,1,0.1601913970134174,-10.20783707499504
29,61.0,-0.25380031,-0.1988215566666666,-0.29500416,263.1133333333333,-72.15666666666668,10.459949373374393,-0.4419511449381931,0.5,20.0,20.44195114493819,11.300000000000002,1.0,3.0,3.2000000000000006,0.0,8.1,1.0,0.0,6.0,4.756073006841432,near,non_dense,2.0,0.75,122,2,1,2,1,0.161775783224636,11.229366809129717
29,84.0,-0.2307131666666666,-0.1485891666666666,-0.2586289966666666,330.8933333333334,-105.34666666666668,13.891985587270772,6.292046440624763,0.5,32.0,25.70795355937524,5.7,1.3999999999999997,4.0,1.0,0.0,4.7,1.0,0.0,4.0,4.522640914744368,far,non_dense,2.0,0.75,122,2,1,2,1,0.1640248665824795,13.150160014629364
38,86.0,-0.4350285241666666,-0.1249490991666666,-0.1884304741666666,256.40833333333336,4.170000000000006,9.568008382328278,-10.311151402649443,0.5,10.916666666666666,21.22781806931611,3.9,1.0,4.0,1.0,0.0,2.9,1.0,0.0,5.0,3.4546152666402943,far,non_dense,2.0,2.0,115,2,1,2,1,0.1644457176159017,8.999911695718765
